,Info,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red
,MatchID,Middle,Middle,Top,Top,ADC,ADC,Support,Support,Jungle,Jungle,Middle,Middle,Top,Top,ADC,ADC,Support,Support,Jungle,Jungle
,Address,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist
57,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040154?gameHash=9272190b156f9bfc,7,8,2,16,7,9,2,15,3,17,3,4,2,7,2,3,0,7,4,5
58,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040161?gameHash=7fc7f4aac6a34613,3,6,1,7,9,5,1,12,1,7,6,10,1,16,14,2,1,18,0,16
59,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040172?gameHash=ff0fdf86f60bcf5d,3,4,7,7,0,7,1,11,8,8,0,3,1,0,1,1,2,3,1,2
60,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070013?gameHash=6a8317d85932ae7b,6,5,6,6,4,4,3,7,1,7,2,3,1,4,3,4,1,9,3,4
61,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070015?gameHash=07f89ba08ad1f2b3,1,3,1,3,1,2,1,3,0,4,3,7,2,5,4,6,0,8,2,7
62,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070035?gameHash=035f73b1b70fb706,5,11,5,8,3,14,4,9,3,14,10,7,2,10,7,6,1,11,0,7
63,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070042?gameHash=dbec95dc7669c1c7,7,4,2,10,6,6,2,11,2,11,1,0,0,2,2,0,0,3,0,1
64,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070051?gameHash=3ed5ca8c2fcd81cd,2,4,1,4,4,3,0,7,1,7,6,7,1,8,4,6,0,11,4,8
65,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070068?gameHash=b1130cf8f9c5e772,9,7,0,7,6,8,2,7,0,14,3,4,2,3,3,5,1,7,2,3
66,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070069?gameHash=4e2dfb93a17542c8,3,10,2,5,5,6,2,12,5,9,3,2,2,2,1,2,0,5,1,5
67,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070075?gameHash=3727ce1de86ecc9f,2,1,0,3,1,2,0,3,0,3,4,11,2,13,9,8,2,13,4,14
68,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070082?gameHash=58f8b7117f1a7717,5,5,5,13,7,7,1,15,2,14,2,2,2,4,2,2,0,5,1,6
69,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070089?gameHash=ba06b386c0eeec8e,4,3,3,4,1,8,0,9,3,3,2,2,0,2,1,3,0,3,1,2
70,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090009?gameHash=b89b17c8ee1630d8,3,4,2,3,3,3,0,7,1,2,5,2,5,8,6,6,0,12,5,7
71,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090016?gameHash=d4307d5d69dea1fe,1,0,0,1,0,0,0,1,2,0,3,9,1,12,9,6,0,12,7,8
72,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090024?gameHash=23ee9058c5c4946d,3,3,0,0,3,2,1,6,3,4,5,8,3,12,5,10,1,11,2,13
73,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090037?gameHash=6aa9ab6b55af2223,0,10,3,8,7,1,1,8,2,7,4,1,2,4,3,2,0,9,2,6
74,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090051?gameHash=9aaefde3fdaf2f2c,3,8,1,7,7,4,0,10,2,4,7,5,7,3,4,8,1,8,1,10
75,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080064?gameHash=2cbe38094f0d00e3,2,1,0,1,0,1,0,3,1,1,4,5,3,6,6,5,0,8,0,10
76,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080068?gameHash=86b3fe64916e9424,2,3,0,11,9,2,1,8,2,7,1,3,0,2,2,1,0,3,2,2
77,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080081?gameHash=98a968823226da0e,5,13,5,10,9,6,0,15,3,15,5,11,2,12,8,7,1,13,2,14
78,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080093?gameHash=61f742f2d5f67b20,1,6,3,12,8,4,0,13,4,4,5,1,4,6,5,4,0,11,1,9
